Sr. Number,Team ID,Theme,Video Links,Task Name
1,34,RR,https://youtu.be/RQYpcD1Q7ms,Original
2,34,RR,https://youtu.be/dgC8kaznubY,Bonus
3,242,RR,https://youtu.be/QpBxtG1a8-Y,Original
4,242,RR,https://youtu.be/IbJiK1Oz-fs,Bonus
5,306,RR,https://youtu.be/FRpyMAzaQmk,Original
6,318,RR,https://youtu.be/D8Ol8VkdZ3c,Original
7,318,RR,https://youtu.be/T-QsykiPFJo,Bonus
8,341,RR,https://youtu.be/Dc0MXTYT5l8,Original
9,341,RR,https://youtu.be/Sij7Wor_Fhg,Bonus
10,457,RR,https://www.youtube.com/watch?v=mNmacZP7g_Q&feature=youtu.be,Original
11,457,RR,https://www.youtube.com/watch?v=cGRvbZ-RxHY&feature=youtu.be,Bonus
12,492,RR,https://youtu.be/JI4L5pMGTTA,Original
13,1290,RR,https://youtu.be/aKeCph8bNIh,Original
14,1290,RR,https://youtu.be/aKeCph8bNId,Bonus
15,1471,RR,https://youtu.be/vl3_CMA0_ao,Original
16,2177,RR,https://youtu.be/bCeaGAV2Mj4,Original
17,2177,RR,https://youtu.be/OMO1P656z78,Bonus
18,2191,RR,https://youtu.be/_ODQACH_2as,Original
19,2191,RR,https://youtu.be/khhXBSPagKY,Bonus
20,3266,RR,https://youtu.be/AF8AdVLtAQg,Original
21,3346,RR,https://www.youtube.com/watch?v=5Kbx3S8sgEo,Original
22,3577,RR,https://www.youtube.com/watch?v=n_lTUUSL_1I,Original
23,3644,RR,https://youtu.be/FJHehA6dReU,Original
24,3644,RR,https://youtu.be/rUZ2ae1bOgo,Bonus
25,4551,RR,https://youtu.be/nChndRQa6JI,Original
26,4551,RR,https://youtu.be/6Ldrrou85ss,Bonus
27,5048,RR,https://youtu.be/OmjKEat1cP0,Original
28,5178,RR,https://youtu.be/SK3BOLdPBpM,Original
29,5178,RR,https://youtu.be/cCqEH2LcvO0,Bonus
30,8100,RR,https://youtu.be/yTBWzUylRto,Original
31,77,SB,https://youtu.be/aPaZAsf0Lk0,Original
32,77,SB,https://youtu.be/taMh4ddeWh0,Bonus
33,95,SB,https://youtu.be/MDkk8lnbHNQ,Original
34,95,SB,https://youtu.be/MtxnDB9JjrU,Bonus
35,96,SB,https://youtu.be/jxncoNapIqo,Original
36,228,SB,https://youtu.be/cJ0FrzOY2MU,Original
37,281,SB,https://youtu.be/gUJrfnreyT4,Original
38,303,SB,https://www.youtube.com/watch?v=g6gDnFn9lt8,Original
39,303,SB,https://www.youtube.com/watch?v=FBeH1KztXFM,Bonus
40,360,SB,https://youtu.be/Ak8qt-wQ4pM,Original
41,360,SB,https://youtu.be/iQEldczCnwg,Bonus
42,378,SB,https://youtu.be/y5w_hfGIE8I,Original
43,378,SB,https://youtu.be/a-kCyLDQQn4,Bonus
44,381,SB,https://youtu.be/KOwA1IGcSQk,Original
45,455,SB,https://youtu.be/i6sNO37FnYU,Original
46,476,SB,https://youtu.be/Q8NmHIg7aiM,Original
47,476,SB,https://youtu.be/6l2Nvj5iW0w,Bonus
48,547,SB,https://youtu.be/vC4dsD6GXkU,Original
49,547,SB,https://youtu.be/hh4C54GPFR8,Bonus
50,611,SB,https://youtu.be/YS4tGA_ALM8,Original
51,716,SB,https://youtu.be/pFHS193m6jk,Original
52,716,SB,https://youtu.be/CN3_GmQjggA,Bonus
53,798,SB,https://www.youtube.com/watch?v=t2V8ZcrXtkE,Original
54,811,SB,https://youtu.be/dD-84mIwZiY,Original
55,811,SB,https://youtu.be/QGjA4DNRcBQ,Bonus
56,954,SB,https://youtu.be/UFbo2g4vRl0,Original
57,954,SB,https://youtu.be/UFbo2g4vRl0,Bonus
58,982,SB,https://youtu.be/NMKab47iz-Y,Original
59,1033,SB,https://youtu.be/OobisR-EZWY,Original
60,1324,SB,https://youtu.be/Nsd3yUSvJ-I,Original
61,1370,SB,https://youtu.be/VkDN07GT6qU,Original
62,1689,SB,https://youtu.be/kMeSAupOHu0,Original
